     40,        -0.4188,         0.0021,         0.4150,         0.8275,         1.2304,         1.6137,         2.3463,         3.0121,         3.6067,         4.1246,         4.5642
     41,        -0.5367,        -0.0846,         0.3475,         0.7633,         1.1608,         1.5508,         2.2733,         2.9283,         3.5171,         4.0346,         4.4796
     42,        -0.4946,        -0.0167,         0.4271,         0.8521,         1.2517,         1.6446,         2.3646,         3.0196,         3.6083,         4.1279,         4.5788
     43,        -0.3942,         0.0546,         0.4787,         0.8929,         1.2883,         1.6708,         2.3875,         3.0425,         3.6329,         4.1525,         4.5975
     44,        -0.2458,         0.1837,         0.5983,         1.0125,         1.4133,         1.7917,         2.5104,         3.1700,         3.7600,         4.2767,         4.7179
     45,        -0.1188,         0.2213,         0.5846,         0.9808,         1.3858,         1.7392,         2.4671,         3.1433,         3.7413,         4.2567,         4.6833
     46,        -0.0958,         0.2433,         0.6042,         0.9988,         1.4062,         1.7600,         2.4892,         3.1621,         3.7596,         4.2713,         4.6987
     47,        -0.0904,         0.2437,         0.5987,         0.9917,         1.3942,         1.7458,         2.4742,         3.1421,         3.7367,         4.2475,         4.6758
     48,        -0.0454,         0.2658,         0.6054,         0.9887,         1.3875,         1.7308,         2.4550,         3.1237,         3.7192,         4.2312,         4.6542
     49,        -0.1413,         0.1575,         0.4892,         0.8650,         1.2608,         1.6025,         2.3229,         2.9900,         3.5842,         4.0942,         4.5138
     50,        -0.2375,         0.0721,         0.4079,         0.7871,         1.1821,         1.5271,         2.2487,         2.9137,         3.5092,         4.0171,         4.4421
     51,        -0.1654,         0.1404,         0.4775,         0.8537,         1.2425,         1.5850,         2.2992,         2.9617,         3.5554,         4.0646,         4.4908
     52,        -0.1858,         0.1450,         0.4954,         0.8721,         1.2562,         1.6038,         2.3058,         2.9612,         3.5467,         4.0554,         4.4871
     53,        -0.2313,         0.1092,         0.4625,         0.8387,         1.2179,         1.5638,         2.2600,         2.9067,         3.4900,         3.9996,         4.4337
     54,        -0.1863,         0.1613,         0.5158,         0.8913,         1.2700,         1.6146,         2.3092,         2.9529,         3.5346,         4.0450,         4.4833
     55,        -0.2008,         0.1271,         0.4721,         0.8383,         1.2096,         1.5500,         2.2371,         2.8750,         3.4521,         3.9588,         4.3921
     56,        -0.3367,         0.0025,         0.3508,         0.7158,         1.0858,         1.4271,         2.1104,         2.7458,         3.3208,         3.8267,         4.2612
     57,        -0.4925,        -0.1087,         0.2667,         0.6400,         1.0033,         1.3546,         2.0267,         2.6500,         3.2175,         3.7242,         4.1692
     58,        -0.3979,         0.0142,         0.4012,         0.7812,         1.1425,         1.4971,         2.1633,         2.7821,         3.3471,         3.8567,         4.3058
     59,        -0.3642,         0.0346,         0.4154,         0.7875,         1.1479,         1.4992,         2.1629,         2.7762,         3.3375,         3.8450,         4.2929
     60,        -0.2996,         0.0700,         0.4337,         0.7983,         1.1575,         1.4996,         2.1629,         2.7796,         3.3442,         3.8500,         4.2925
     61,        -0.4329,        -0.0483,         0.3213,         0.6900,         1.0496,         1.3946,         2.0567,         2.6688,         3.2312,         3.7362,         4.1821
     62,        -0.3262,         0.0621,         0.4338,         0.8050,         1.1642,         1.5092,         2.1692,         2.7800,         3.3417,         3.8483,         4.2921
     63,        -0.2604,         0.0971,         0.4508,         0.8146,         1.1725,         1.5071,         2.1683,         2.7813,         3.3471,         3.8504,         4.2900
     64,        -0.2850,         0.0612,         0.4083,         0.7687,         1.1271,         1.4608,         2.1187,         2.7342,         3.2954,         3.7954,         4.2333
     65,        -0.2537,         0.0858,         0.4296,         0.7887,         1.1471,         1.4779,         2.1358,         2.7525,         3.3158,         3.8175,         4.2558
     66,        -0.2308,         0.0983,         0.4342,         0.7883,         1.1437,         1.4696,         2.1271,         2.7417,         3.2996,         3.7979,         4.2329
     67,        -0.3025,         0.0421,         0.3862,         0.7433,         1.0979,         1.4283,         2.0821,         2.6929,         3.2483,         3.7479,         4.1842
     68,        -0.1842,         0.1492,         0.4862,         0.8396,         1.1933,         1.5192,         2.1713,         2.7825,         3.3408,         3.8408,         4.2754
     69,        -0.1388,         0.1629,         0.4792,         0.8233,         1.1771,         1.4937,         2.1458,         2.7613,         3.3213,         3.8188,         4.2488
     70,        -0.1300,         0.1667,         0.4800,         0.8250,         1.1788,         1.4958,         2.1475,         2.7642,         3.3237,         3.8192,         4.2488
     71,        -0.0925,         0.1758,         0.4717,         0.8025,         1.1513,         1.4587,         2.1079,         2.7212,         3.2812,         3.7775,         4.2012
     72,        -0.1433,         0.1308,         0.4296,         0.7650,         1.1137,         1.4229,         2.0713,         2.6854,         3.2450,         3.7400,         4.1637
     73,        -0.1212,         0.1700,         0.4767,         0.8138,         1.1604,         1.4725,         2.1158,         2.7208,         3.2746,         3.7662,         4.1971
