days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd
936	13.7694	13.7694	-6.1786	6.1786	7.5908	7.5908
991	1.396	1.396	2.7981	2.7981	4.1941	4.1941
1033	0.4127	0.4127	0.496	0.496	0.9086	0.9086
1263	12.7535	12.7535	-8.6083	8.6083	4.1452	4.1452
1286	15.1665	15.1665	-7.8647	7.8647	7.3018	7.3018
1350	6.3212	0.189	-3.2172	0.4973	3.1039	0.3083
1391	2.5116	0.6599	-0.906	0.534	1.6056	0.1259
1433	0.3355	0.3355	-0.07	0.07	0.2655	0.2655
1630	10.9692	0.5537	-7.2012	0.0895	3.768	0.4643
1663	4.9898	0.4776	0.851	0.1122	5.8407	0.5898
1744	6.0573	0.4088	-2.6118	1.5172	3.4456	1.1085
1785	2.2944	2.4874	-1.0599	2.2254	1.2346	0.262
1908	10.7294	10.7294	-2.7693	2.7693	7.96	7.96
1960	5.6323	0.2829	-2.8206	0.3863	2.8118	0.6693
1994	17.7451	4.7991	-10.9332	0.6417	6.8119	4.1574
2027	6.6122	3.1694	-3.334	2.4616	3.2782	0.7078
2078	7.2102	7.2102	0.9299	0.9299	8.1402	8.1402
2118	11.4732	0.358	-9.4953	1.9942	1.9779	1.6363
2167	0.6408	1.0491	0.5636	0.6448	1.2044	1.6939
2300	2.5948	2.5948	0.1631	0.1631	2.7579	2.7579
2315	7.8769	7.8803	-2.3709	3.2706	5.506	4.6098
2363	11.6924	6.2442	-4.8826	1.9227	6.8098	4.3215
2390	8.9337	8.9337	-2.7959	2.7959	6.1377	6.1377
2453	17.5548	6.7173	-11.9581	7.7703	5.5967	1.0529
2503	0	0	1.9702	1.9702	0.2915	0.2915
2716	0	0	3.6951	3.6951	3.3001	3.3001
2770	5.5609	2.1904	-0.7073	3.2195	4.8536	1.0291
2818	6.5581	6.0401	-1.0456	13.4432	5.5125	7.4031
