days	CH4	CH4_sd
934	0.0833	0.1
992	0.2911	0.1
1034	0.0237	0.1
1263	0.0293	0.1
1287	0.0733	0.1
1350	0.2351	0.1
1390	0.1986	0.1
1433	0.0123	0.1
1560	0.0085	0.1
1630	0.0617	0.1
1663	0.3543	0.1
1744	0.5241	0.1
1785	0.052	0.1
1909	0.0112	0.1
1960	0.2459	0.1
1994	0.3343	0.1
2026	0.4389	0.1
2078	0.4762	0.1
2118	0.4912	0.1
2168	0.0099	0.1
2300	0.0152	0.1
2316	0.9208	0.1
2362	1.3137	0.1
2391	1.2182	0.1
2454	0.0422	0.1
2502	0.0211	0.1
2664	0.0055	0.1
2687	0.0282	0.1
2715	0.0439	0.1
2754	1.7313	0.1
2769	1.7341	0.1
2817	1.7093	0.1
